Patient	Type	Gene	Cytoband	Samples with alteration in altered group	Samples with alteration in unaltered group	Log Ratio	p-Value	q-Value	Tendency
P-0006500	MUT	RAD50	5q31.1	18 (1.54%)	4 (0.31%)	2.32	9.373E-04	8.073E-03	Co-occurrence
P-0006500	MUT	XPO1	2p15	18 (1.54%)	4 (0.31%)	2.32	9.373E-04	8.073E-03	Co-occurrence
P-0006500	MUT	ETV1	7p21.2	16 (1.37%)	3 (0.23%)	2.57	1.023E-03	8.49E-03	Co-occurrence
P-0006500	MUT	PIK3C2G	12p12.3	16 (1.37%)	3 (0.23%)	2.57	1.023E-03	8.49E-03	Co-occurrence
P-0006500	MUT	POLE	12q24.33	26 (2.22%)	9 (0.69%)	1.68	1.034E-03	8.49E-03	Co-occurrence
P-0006500	MUT	ASXL2	2p23.3	14 (1.19%)	2 (0.15%)	2.96	1.035E-03	8.49E-03	Co-occurrence
P-0006500	MUT	MET	7q31.2	40 (3.41%)	19 (1.46%)	1.23	1.079E-03	8.747E-03	Co-occurrence
P-0006500	MUT	BRCA2	13q13.1	49 (4.18%)	26 (2.00%)	1.07	1.106E-03	8.862E-03	Co-occurrence
P-0006500	MUT	AXIN1	16p13.3	9 (0.77%)	0 (0.00%)	>10	1.178E-03	9.223E-03	Co-occurrence
P-0006500	MUT	NUP93	16q13	9 (0.77%)	0 (0.00%)	>10	1.178E-03	9.223E-03	Co-occurrence
P-0006500	MUT	PTPRD	9p24.1-p23	24 (2.05%)	8 (0.61%)	1.74	1.294E-03	0.01	Co-occurrence
P-0006500	MUT	SLX4	16p13.3	19 (1.62%)	5 (0.38%)	2.08	1.414E-03	0.0108	Co-occurrence
P-0006500	MUT	EPHA3	3p11.1	25 (2.13%)	9 (0.69%)	1.63	1.658E-03	0.0126	Co-occurrence
P-0006500	MUT	ARID5B	10q21.2	11 (0.94%)	1 (0.08%)	3.61	1.785E-03	0.0127	Co-occurrence
P-0006500	MUT	EPHB1	3q22.2	11 (0.94%)	1 (0.08%)	3.61	1.785E-03	0.0127	Co-occurrence
P-0006500	MUT	GATA3	10p14	11 (0.94%)	1 (0.08%)	3.61	1.785E-03	0.0127	Co-occurrence
P-0006500	MUT	LATS1	6q25.1	11 (0.94%)	1 (0.08%)	3.61	1.785E-03	0.0127	Co-occurrence
P-0006500	MUT	MST1R	3p21.31	11 (0.94%)	1 (0.08%)	3.61	1.785E-03	0.0127	Co-occurrence
P-0006500	MUT	SYK	9q22.2	11 (0.94%)	1 (0.08%)	3.61	1.785E-03	0.0127	Co-occurrence
P-0006500	MUT	FAT1	4q35.2	36 (3.07%)	17 (1.30%)	1.24	1.816E-03	0.0128	Co-occurrence
P-0006500	MUT	ANKRD11	16q24.3	13 (1.11%)	2 (0.15%)	2.85	1.939E-03	0.0132	Co-occurrence
P-0006500	MUT	CDK12	17q12	13 (1.11%)	2 (0.15%)	2.85	1.939E-03	0.0132	Co-occurrence
P-0006500	MUT	SUZ12	17q11.2	13 (1.11%)	2 (0.15%)	2.85	1.939E-03	0.0132	Co-occurrence
P-0006500	MUT	ARID1B	6q25.3	48 (4.10%)	27 (2.07%)	0.98	2.388E-03	0.0155	Co-occurrence
P-0006500	MUT	DNMT3B	20q11.21	8 (0.68%)	0 (0.00%)	>10	2.497E-03	0.0155	Co-occurrence
P-0006500	MUT	ERRFI1	1p36.23	8 (0.68%)	0 (0.00%)	>10	2.497E-03	0.0155	Co-occurrence
P-0006500	MUT	PAK5	20p12.2	8 (0.68%)	0 (0.00%)	>10	2.497E-03	0.0155	Co-occurrence
P-0006500	MUT	RAD51C	17q22	8 (0.68%)	0 (0.00%)	>10	2.497E-03	0.0155	Co-occurrence
P-0006500	MUT	RPS6KA4	11q13.1	8 (0.68%)	0 (0.00%)	>10	2.497E-03	0.0155	Co-occurrence
P-0006500	MUT	SHQ1	3p13	8 (0.68%)	0 (0.00%)	>10	2.497E-03	0.0155	Co-occurrence
P-0006500	MUT	TEK	9p21.2	8 (0.68%)	0 (0.00%)	>10	2.497E-03	0.0155	Co-occurrence
P-0006500	MUT	TRAF2	9q34.3	8 (0.68%)	0 (0.00%)	>10	2.497E-03	0.0155	Co-occurrence
P-0006500	MUT	YES1	18p11.32	8 (0.68%)	0 (0.00%)	>10	2.497E-03	0.0155	Co-occurrence
P-0006500	MUT	NOTCH1	9q34.3	77 (6.57%)	52 (3.99%)	0.72	2.61E-03	0.0161	Co-occurrence
P-0006500	MUT	PTPRS	19p13.3	16 (1.37%)	4 (0.31%)	2.15	2.869E-03	0.0175	Co-occurrence
P-0006500	MUT	ROS1	6q22.1	46 (3.92%)	26 (2.00%)	0.98	3.084E-03	0.0186	Co-occurrence
P-0006500	MUT	ARID2	12q12	41 (3.50%)	22 (1.69%)	1.05	3.118E-03	0.0187	Co-occurrence
P-0006500	MUT	NCOR1	17p12-p11.2	14 (1.19%)	3 (0.23%)	2.38	3.307E-03	0.0189	Co-occurrence
P-0006500	MUT	TSC2	16p13.3	37 (3.16%)	19 (1.46%)	1.11	3.339E-03	0.0189	Co-occurrence
P-0006500	MUT	PDGFRB	5q32	22 (1.88%)	8 (0.61%)	1.61	3.358E-03	0.0189	Co-occurrence
P-0006500	MUT	MSH2	2p21-p16.3	29 (2.47%)	13 (1.00%)	1.31	3.464E-03	0.0189	Co-occurrence
P-0006500	MUT	AMER1	Xq11.2	10 (0.85%)	1 (0.08%)	3.47	3.492E-03	0.0189	Co-occurrence
P-0006500	MUT	BARD1	2q35	10 (0.85%)	1 (0.08%)	3.47	3.492E-03	0.0189	Co-occurrence
P-0006500	MUT	CTCF	16q22.1	10 (0.85%)	1 (0.08%)	3.47	3.492E-03	0.0189	Co-occurrence
P-0006500	MUT	HOXB13	17q21.32	10 (0.85%)	1 (0.08%)	3.47	3.492E-03	0.0189	Co-occurrence
P-0006500	MUT	LATS2	13q12.11	10 (0.85%)	1 (0.08%)	3.47	3.492E-03	0.0189	Co-occurrence
P-0006500	MUT	MDC1	6p21.33	10 (0.85%)	1 (0.08%)	3.47	3.492E-03	0.0189	Co-occurrence
P-0006500	MUT	PIK3CB	3q22.3	10 (0.85%)	1 (0.08%)	3.47	3.492E-03	0.0189	Co-occurrence
P-0006500	MUT	STAT5B	17q21.2	10 (0.85%)	1 (0.08%)	3.47	3.492E-03	0.0189	Co-occurrence
P-0006500	MUT	EED	11q14.2	12 (1.02%)	2 (0.15%)	2.74	3.599E-03	0.0192	Co-occurrence
P-0006500	MUT	RASA1	5q14.3	12 (1.02%)	2 (0.15%)	2.74	3.599E-03	0.0192	Co-occurrence
P-0006500	MUT	PMS1	2q32.2	20 (1.71%)	7 (0.54%)	1.67	4.267E-03	0.0226	Co-occurrence
P-0006500	MUT	ARID1A	1p36.11	58 (4.95%)	37 (2.84%)	0.8	4.335E-03	0.0228	Co-occurrence
P-0006500	MUT	IGF1R	15q26.3	27 (2.30%)	12 (0.92%)	1.32	4.499E-03	0.0235	Co-occurrence
P-0006500	MUT	ASXL1	20q11.21	41 (3.50%)	23 (1.77%)	0.99	4.772E-03	0.0247	Co-occurrence
P-0006500	MUT	COP1	1q25.1-q25.2	15 (1.28%)	4 (0.31%)	2.06	4.942E-03	0.0252	Co-occurrence
P-0006500	MUT	NF2	22q12.2	15 (1.28%)	4 (0.31%)	2.06	4.942E-03	0.0252	Co-occurrence
P-0006500	MUT	BRCA1	17q21.31	32 (2.73%)	16 (1.23%)	1.15	5.076E-03	0.0256	Co-occurrence
P-0006500	MUT	SMARCA4	19p13.2	42 (3.58%)	24 (1.84%)	0.96	5.144E-03	0.0256	Co-occurrence
P-0006500	MUT	ERBB3	12q13.2	28 (2.39%)	13 (1.00%)	1.26	5.183E-03	0.0256	Co-occurrence
P-0006500	MUT	CXCR4	2q22.1	7 (0.60%)	0 (0.00%)	>10	5.289E-03	0.0256	Co-occurrence
P-0006500	MUT	INPP4A	2q11.2	7 (0.60%)	0 (0.00%)	>10	5.289E-03	0.0256	Co-occurrence
P-0006500	MUT	SLITRK6	13q31.1	7 (0.60%)	0 (0.00%)	>10	5.289E-03	0.0256	Co-occurrence
P-0006500	MUT	CDKN2C	1p32.3	21 (1.79%)	8 (0.61%)	1.55	5.324E-03	0.0256	Co-occurrence
P-0006500	MUT	MLH1	3p22.2	21 (1.79%)	8 (0.61%)	1.55	5.324E-03	0.0256	Co-occurrence
P-0006500	MUT	PLCG2	16q23.3	18 (1.54%)	6 (0.46%)	1.74	5.396E-03	0.0256	Co-occurrence
P-0006500	MUT	TSC1	9q34.13	18 (1.54%)	6 (0.46%)	1.74	5.396E-03	0.0256	Co-occurrence
P-0006500	MUT	BCOR	Xp11.4	39 (3.33%)	22 (1.69%)	0.98	6.173E-03	0.0291	Co-occurrence
P-0006500	MUT	INPP4B	4q31.21	11 (0.94%)	2 (0.15%)	2.61	6.617E-03	0.0298	Co-occurrence
P-0006500	MUT	MAP2K1	15q22.31	11 (0.94%)	2 (0.15%)	2.61	6.617E-03	0.0298	Co-occurrence
P-0006500	MUT	PGR	11q22.1	11 (0.94%)	2 (0.15%)	2.61	6.617E-03	0.0298	Co-occurrence
P-0006500	MUT	SOX17	8q11.23	11 (0.94%)	2 (0.15%)	2.61	6.617E-03	0.0298	Co-occurrence
P-0006500	MUT	ATM	11q22.3	53 (4.52%)	34 (2.61%)	0.79	6.702E-03	0.0298	Co-occurrence
P-0006500	MUT	KDM5C	Xp11.22	16 (1.37%)	5 (0.38%)	1.83	6.776E-03	0.0298	Co-occurrence
P-0006500	MUT	DDB2	11p11.2	9 (0.77%)	1 (0.08%)	3.32	6.78E-03	0.0298	Co-occurrence
P-0006500	MUT	IL7R	5p13.2	9 (0.77%)	1 (0.08%)	3.32	6.78E-03	0.0298	Co-occurrence
P-0006500	MUT	KMT2B	19q13.12	9 (0.77%)	1 (0.08%)	3.32	6.78E-03	0.0298	Co-occurrence
P-0006500	MUT	POLQ	3q13.33	9 (0.77%)	1 (0.08%)	3.32	6.78E-03	0.0298	Co-occurrence
P-0006500	MUT	SMARCD1	12q13.12	9 (0.77%)	1 (0.08%)	3.32	6.78E-03	0.0298	Co-occurrence
P-0006500	MUT	ABL1	9q34.12	19 (1.62%)	7 (0.54%)	1.59	6.834E-03	0.0298	Co-occurrence
P-0006500	MUT	ERCC2	19q13.32	20 (1.71%)	8 (0.61%)	1.47	8.348E-03	0.0359	Co-occurrence
P-0006500	MUT	PRDM1	6q21	20 (1.71%)	8 (0.61%)	1.47	8.348E-03	0.0359	Co-occurrence
P-0006500	MUT	PMS2	7p22.1	17 (1.45%)	6 (0.46%)	1.66	8.751E-03	0.0374	Co-occurrence
P-0006500	MUT	FKBP9	7p14.3	1 (0.09%)	10 (0.77%)	-3.17	9.259E-03	0.0394	Mutual exclusivity
P-0006500	MUT	DICER1	14q32.13	29 (2.47%)	15 (1.15%)	1.1	9.574E-03	0.0403	Co-occurrence
P-0006500	MUT	EP300	22q13.2	34 (2.90%)	19 (1.46%)	0.99	9.588E-03	0.0403	Co-occurrence
P-0006500	MUT	CBL	11q23.3	25 (2.13%)	12 (0.92%)	1.21	0.01	0.0419	Co-occurrence
P-0006500	MUT	INSR	19p13.2	12 (1.02%)	3 (0.23%)	2.15	0.0102	0.042	Co-occurrence
P-0006500	MUT	MRE11	11q21	12 (1.02%)	3 (0.23%)	2.15	0.0102	0.042	Co-occurrence
P-0006500	MUT	SMAD2	18q21.1	12 (1.02%)	3 (0.23%)	2.15	0.0102	0.042	Co-occurrence
P-0006500	MUT	HIST1H3F	6p22.2	15 (1.28%)	5 (0.38%)	1.74	0.0112	0.0422	Co-occurrence
P-0006500	MUT	RAF1	3p25.2	15 (1.28%)	5 (0.38%)	1.74	0.0112	0.0422	Co-occurrence
P-0006500	MUT	CHEK1	11q24.2	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	DROSHA	5p13.3	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	FOXO1	13q14.11	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	MALT1	18q21.32	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	MAPK3	16p11.2	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	PIK3R3	1p34.1	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	PIM1	6p21.2	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	RAD54L	1p34.1	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	RPS6KB2	11q13.2	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	RTEL1	20q13.33	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	STK40	1p34.3	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	TMEM127	2q11.2	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	XIAP	Xq25	6 (0.51%)	0 (0.00%)	>10	0.0112	0.0422	Co-occurrence
P-0006500	MUT	ACVR1	2q24.1	10 (0.85%)	2 (0.15%)	2.47	0.012	0.0443	Co-occurrence
P-0006500	MUT	NFE2L2	2q31.2	10 (0.85%)	2 (0.15%)	2.47	0.012	0.0443	Co-occurrence
P-0006500	MUT	STAT3	17q21.2	10 (0.85%)	2 (0.15%)	2.47	0.012	0.0443	Co-occurrence
P-0006500	MUT	USP28	11q23.2	10 (0.85%)	2 (0.15%)	2.47	0.012	0.0443	Co-occurrence
P-0006500	MUT	ALK	2p23.2-p23.1	32 (2.73%)	18 (1.38%)	0.98	0.0124	0.0456	Co-occurrence
P-0006500	MUT	DIS3	13q21.33	19 (1.62%)	8 (0.61%)	1.4	0.0129	0.0463	Co-occurrence
P-0006500	MUT	CCND1	11q13.3	8 (0.68%)	1 (0.08%)	3.15	0.013	0.0463	Co-occurrence
P-0006500	MUT	PIK3R2	19p13.11	8 (0.68%)	1 (0.08%)	3.15	0.013	0.0463	Co-occurrence
P-0006500	MUT	RAD51D	17q12	8 (0.68%)	1 (0.08%)	3.15	0.013	0.0463	Co-occurrence
P-0006500	MUT	RIF1	2q23.3	8 (0.68%)	1 (0.08%)	3.15	0.013	0.0463	Co-occurrence
P-0006500	MUT	TGFBR2	3p24.1	8 (0.68%)	1 (0.08%)	3.15	0.013	0.0463	Co-occurrence
P-0006500	MUT	TENT5C	1p12	13 (1.11%)	4 (0.31%)	1.85	0.0141	0.0499	Co-occurrence
P-0006500	DEL	CDKN2A	9p21.3	465 (39.68%)	156 (11.97%)	1.73	2.71E-58	7.84E-56	Co-occurrence
P-0006500	DEL	CDKN2B	9p21.3	439 (37.46%)	141 (10.82%)	1.79	1.25E-56	1.81E-54	Co-occurrence
P-0006500	DEL	GATA3	10p14	32 (2.73%)	2 (0.15%)	4.15	5.48E-09	5.3E-07	Co-occurrence
P-0006500	DEL	ARID5B	10q21.2	39 (3.33%)	5 (0.38%)	3.12	8.25E-09	5.98E-07	Co-occurrence
P-0006500	DEL	ERRFI1	1p36.23	20 (1.71%)	0 (0.00%)	>10	2.95E-07	1.71E-05	Co-occurrence
P-0006500	DEL	PTEN	10q23.31	73 (6.23%)	30 (2.30%)	1.44	6.9E-07	3.337E-05	Co-occurrence
P-0006500	DEL	TEK	9p21.2	22 (1.88%)	1 (0.08%)	4.61	8.23E-07	3.411E-05	Co-occurrence
P-0006500	DEL	PIK3CD	1p36.22	17 (1.45%)	0 (0.00%)	>10	2.846E-06	1.032E-04	Co-occurrence
P-0006500	DEL	RET	10q11.21	17 (1.45%)	2 (0.15%)	3.24	1.508E-04	4.86E-03	Co-occurrence
P-0006500	DEL	TNFRSF14	1p36.32	11 (0.94%)	0 (0.00%)	>10	2.619E-04	7.594E-03	Co-occurrence
P-0006500	DEL	TP53	17p13.1	13 (1.11%)	1 (0.08%)	3.85	4.58E-04	0.0121	Co-occurrence
P-0006500	DEL	RAC2	22q13.1	10 (0.85%)	0 (0.00%)	>10	5.555E-04	0.0134	Co-occurrence
P-0006500	AMP	EGFR	7p11.2	357 (30.46%)	69 (5.30%)	2.52	2.01E-65	4.77E-63	Co-occurrence
P-0006500	AMP	MDM4	1q32.1	62 (5.29%)	11 (0.84%)	2.65	1.45E-11	1.72E-09	Co-occurrence
P-0006500	AMP	CDK4	12q14.1	118 (10.07%)	54 (4.14%)	1.28	4.53E-09	3.58E-07	Co-occurrence
P-0006500	AMP	MDM2	12q15	66 (5.63%)	26 (2.00%)	1.5	1.199E-06	7.107E-05	Co-occurrence
P-0006500	AMP	GLI1	12q13.3	47 (4.01%)	14 (1.07%)	1.9	1.599E-06	7.577E-05	Co-occurrence
P-0006500	AMP	SOX2	3q26.33	46 (3.92%)	20 (1.53%)	1.35	1.674E-04	6.61E-03	Co-occurrence
P-0006500	AMP	PIK3C2B	1q32.1	26 (2.22%)	8 (0.61%)	1.85	4.807E-04	0.0163	Co-occurrence
P-0006500	AMP	HGF	7q21.11	9 (0.77%)	0 (0.00%)	>10	1.178E-03	0.0349	Co-occurrence
P-0006441	MUT	ATRX	Xq21.1	332 (20.27%)	43 (5.14%)	1.98	9.82E-27	5.51E-24	Co-occurrence
P-0006441	MUT	IDH1	2q34	573 (34.98%)	128 (15.29%)	1.19	1.6E-26	5.51E-24	Co-occurrence
P-0006441	MUT	BRAF	7q34	39 (2.38%)	91 (10.87%)	-2.19	5.25E-18	1.21E-15	Mutual exclusivity
P-0006441	MUT	CIC	19q13.2	117 (7.14%)	11 (1.31%)	2.44	7.81E-12	1.35E-09	Co-occurrence
P-0006441	MUT	NOTCH3	19p13.12	37 (2.26%)	0 (0.00%)	>10	2.03E-07	2.797E-05	Co-occurrence
P-0006441	MUT	NSD1	5q35.3	35 (2.14%)	0 (0.00%)	>10	4.7E-07	5.402E-05	Co-occurrence
P-0006441	MUT	MGA	15q15.1	27 (1.65%)	0 (0.00%)	>10	1.343E-05	1.159E-03	Co-occurrence
P-0006441	MUT	PIK3CG	7q22.3	27 (1.65%)	0 (0.00%)	>10	1.343E-05	1.159E-03	Co-occurrence
P-0006441	MUT	FUBP1	1p31.1	37 (2.26%)	2 (0.24%)	3.24	1.956E-05	1.408E-03	Co-occurrence
P-0006441	MUT	ATR	3q23	26 (1.59%)	0 (0.00%)	>10	2.041E-05	1.408E-03	Co-occurrence
P-0006441	MUT	MSH6	2p16.3	45 (2.75%)	4 (0.48%)	2.52	2.457E-05	1.541E-03	Co-occurrence
P-0006441	MUT	ARID2	12q12	56 (3.42%)	7 (0.84%)	2.03	2.754E-05	1.584E-03	Co-occurrence
P-0006441	MUT	FAT1	4q35.2	48 (2.93%)	5 (0.60%)	2.29	3.346E-05	1.776E-03	Co-occurrence
P-0006441	MUT	SMARCA4	19p13.2	58 (3.54%)	8 (0.96%)	1.89	4.366E-05	2.152E-03	Co-occurrence
P-0006441	MUT	BCOR	Xp11.4	54 (3.30%)	7 (0.84%)	1.98	5.098E-05	2.345E-03	Co-occurrence
P-0006441	MUT	KMT2C	7q36.1	29 (1.77%)	1 (0.12%)	3.89	6.354E-05	2.596E-03	Co-occurrence
P-0006441	MUT	PTEN	10q23.31	391 (23.87%)	144 (17.20%)	0.47	6.972E-05	2.596E-03	Co-occurrence
P-0006441	MUT	PTPRT	20q12-q13.11	23 (1.40%)	0 (0.00%)	>10	7.147E-05	2.596E-03	Co-occurrence
P-0006441	MUT	SPEN	1p36.21-p36.13	23 (1.40%)	0 (0.00%)	>10	7.147E-05	2.596E-03	Co-occurrence
P-0006441	MUT	NOTCH4	6p21.32	20 (1.22%)	0 (0.00%)	>10	2.498E-04	8.619E-03	Co-occurrence
P-0006441	MUT	KDM5A	12p13.33	25 (1.53%)	1 (0.12%)	3.68	2.958E-04	9.718E-03	Co-occurrence
P-0006441	MUT	GRIN2A	16p13.2	24 (1.47%)	1 (0.12%)	3.62	4.329E-04	0.0136	Co-occurrence
P-0006441	MUT	KMT2A	11q23.3	53 (3.24%)	9 (1.08%)	1.59	4.694E-04	0.0141	Co-occurrence
P-0006441	MUT	POLE	12q24.33	32 (1.95%)	3 (0.36%)	2.45	5.195E-04	0.0149	Co-occurrence
P-0006441	MUT	TP63	3q28	18 (1.10%)	0 (0.00%)	>10	5.748E-04	0.0159	Co-occurrence
P-0006441	MUT	DNMT3A	2p23.3	42 (2.56%)	6 (0.72%)	1.84	6.64E-04	0.0176	Co-occurrence
P-0006441	MUT	MED12	Xq13.1	31 (1.89%)	3 (0.36%)	2.4	7.257E-04	0.0185	Co-occurrence
P-0006441	MUT	CARD11	7p22.2	38 (2.32%)	5 (0.60%)	1.96	7.903E-04	0.0195	Co-occurrence
P-0006441	MUT	FGFR3	4p16.3	44 (2.69%)	7 (0.84%)	1.68	9.654E-04	0.023	Co-occurrence
P-0006441	MUT	MSH2	2p21-p16.3	37 (2.26%)	5 (0.60%)	1.92	1.069E-03	0.0246	Co-occurrence
P-0006441	MUT	ASXL2	2p23.3	16 (0.98%)	0 (0.00%)	>10	1.321E-03	0.0273	Co-occurrence
P-0006441	MUT	IRS1	2q36.3	16 (0.98%)	0 (0.00%)	>10	1.321E-03	0.0273	Co-occurrence
P-0006441	MUT	RAD50	5q31.1	21 (1.28%)	1 (0.12%)	3.42	1.344E-03	0.0273	Co-occurrence
P-0006441	MUT	XPO1	2p15	21 (1.28%)	1 (0.12%)	3.42	1.344E-03	0.0273	Co-occurrence
P-0006441	MUT	PTPRD	9p24.1-p23	29 (1.77%)	3 (0.36%)	2.3	1.405E-03	0.0277	Co-occurrence
P-0006441	MUT	CDK12	17q12	15 (0.92%)	0 (0.00%)	>10	2.003E-03	0.0373	Co-occurrence
P-0006441	MUT	SMAD2	18q21.1	15 (0.92%)	0 (0.00%)	>10	2.003E-03	0.0373	Co-occurrence
P-0006441	MUT	BRIP1	17q23.2	31 (1.89%)	4 (0.48%)	1.99	2.323E-03	0.0422	Co-occurrence
P-0006441	MUT	PTPRS	19p13.3	19 (1.16%)	1 (0.12%)	3.28	2.833E-03	0.0436	Co-occurrence
P-0006441	MUT	RAF1	3p25.2	19 (1.16%)	1 (0.12%)	3.28	2.833E-03	0.0436	Co-occurrence
P-0006441	MUT	ZFHX3	16q22.2-q22.3	19 (1.16%)	1 (0.12%)	3.28	2.833E-03	0.0436	Co-occurrence
P-0006441	MUT	KDR	4q12	49 (2.99%)	10 (1.19%)	1.32	2.913E-03	0.0436	Co-occurrence
P-0006441	MUT	MET	7q31.2	49 (2.99%)	10 (1.19%)	1.32	2.913E-03	0.0436	Co-occurrence
P-0006441	MUT	TET2	4q24	49 (2.99%)	10 (1.19%)	1.32	2.913E-03	0.0436	Co-occurrence
P-0006441	MUT	DNMT1	19p13.2	14 (0.85%)	0 (0.00%)	>10	3.035E-03	0.0436	Co-occurrence
P-0006441	MUT	DOT1L	19p13.3	14 (0.85%)	0 (0.00%)	>10	3.035E-03	0.0436	Co-occurrence
P-0006441	MUT	TBX3	12q24.21	14 (0.85%)	0 (0.00%)	>10	3.035E-03	0.0436	Co-occurrence
P-0006441	MUT	TP53BP1	15q15.3	14 (0.85%)	0 (0.00%)	>10	3.035E-03	0.0436	Co-occurrence
P-0006441	MUT	ERBB2	17q12	30 (1.83%)	4 (0.48%)	1.94	3.151E-03	0.0444	Co-occurrence
P-0006441	DEL	CDKN2B	9p21.3	450 (27.47%)	130 (15.53%)	0.82	7.53E-12	2.18E-09	Co-occurrence
P-0006441	DEL	CDKN2A	9p21.3	477 (29.12%)	144 (17.20%)	0.76	2.69E-11	3.9E-09	Co-occurrence
P-0006441	DEL	ARID5B	10q21.2	42 (2.56%)	2 (0.24%)	3.42	3.019E-06	2.919E-04	Co-occurrence
P-0006441	DEL	GATA3	10p14	33 (2.01%)	1 (0.12%)	4.08	1.339E-05	9.708E-04	Co-occurrence
P-0006441	DEL	PTEN	10q23.31	84 (5.13%)	19 (2.27%)	1.18	3.295E-04	0.0191	Co-occurrence
P-0006441	DEL	PIK3CD	1p36.22	17 (1.04%)	0 (0.00%)	>10	8.716E-04	0.0421	Co-occurrence
P-0006441	AMP	EGFR	7p11.2	352 (21.49%)	74 (8.84%)	1.28	1.31E-16	3.1E-14	Co-occurrence
P-0006441	AMP	SOX2	3q26.33	60 (3.66%)	6 (0.72%)	2.35	2.293E-06	2.717E-04	Co-occurrence
P-0006441	AMP	MYCN	2p24.3	28 (1.71%)	2 (0.24%)	2.84	5.131E-04	0.0405	Co-occurrence
P-0006428	MUT	CIC	19q13.2	112 (11.12%)	16 (1.09%)	3.35	1.86E-29	1.28E-26	Co-occurrence
P-0006428	MUT	PTEN	10q23.31	318 (31.58%)	217 (14.78%)	1.1	3.44E-23	1.18E-20	Co-occurrence
P-0006428	MUT	EGFR	7p11.2	225 (22.34%)	137 (9.33%)	1.26	3.96E-19	9.07E-17	Co-occurrence
P-0006428	MUT	IDH1	2q34	195 (19.36%)	506 (34.47%)	-0.83	6.62E-17	1.14E-14	Mutual exclusivity
P-0006428	MUT	FUBP1	1p31.1	38 (3.77%)	1 (0.07%)	5.79	2.26E-14	3.11E-12	Co-occurrence
P-0006428	MUT	TP53	17p13.1	296 (29.39%)	610 (41.55%)	-0.5	3.55E-10	4.07E-08	Mutual exclusivity
P-0006428	MUT	KMT2C	7q36.1	28 (2.78%)	2 (0.14%)	4.35	1.52E-09	1.42E-07	Co-occurrence
P-0006428	MUT	PIK3R1	5q13.1	101 (10.03%)	58 (3.95%)	1.34	1.65E-09	1.42E-07	Co-occurrence
P-0006428	MUT	PIK3CG	7q22.3	25 (2.48%)	2 (0.14%)	4.19	1.91E-08	1.33E-06	Co-occurrence
P-0006428	MUT	RB1	13q14.2	104 (10.33%)	66 (4.50%)	1.2	1.93E-08	1.33E-06	Co-occurrence
P-0006428	MUT	PTPRT	20q12-q13.11	22 (2.18%)	1 (0.07%)	5	3.16E-08	1.719E-06	Co-occurrence
P-0006428	MUT	SPEN	1p36.21-p36.13	22 (2.18%)	1 (0.07%)	5	3.16E-08	1.719E-06	Co-occurrence
P-0006428	MUT	FGFR3	4p16.3	40 (3.97%)	11 (0.75%)	2.41	3.25E-08	1.719E-06	Co-occurrence
P-0006428	MUT	ATRX	Xq21.1	107 (10.63%)	268 (18.26%)	-0.78	8.31E-08	4.084E-06	Mutual exclusivity
P-0006428	MUT	SETD2	3p21.31	77 (7.65%)	45 (3.07%)	1.32	2.51E-07	1.153E-05	Co-occurrence
P-0006428	MUT	ZFHX3	16q22.2-q22.3	19 (1.89%)	1 (0.07%)	4.79	4.24E-07	1.823E-05	Co-occurrence
P-0006428	MUT	NOTCH3	19p13.12	30 (2.98%)	7 (0.48%)	2.64	5E-07	1.902E-05	Co-occurrence
P-0006428	MUT	PTPN11	12q24.13	67 (6.65%)	37 (2.52%)	1.4	5.22E-07	1.902E-05	Co-occurrence
P-0006428	MUT	IRS1	2q36.3	16 (1.59%)	0 (0.00%)	>10	5.25E-07	1.902E-05	Co-occurrence
P-0006428	MUT	GRIN2A	16p13.2	22 (2.18%)	3 (0.20%)	3.42	1.2E-06	4.073E-05	Co-occurrence
P-0006428	MUT	CDK12	17q12	15 (1.49%)	0 (0.00%)	>10	1.302E-06	4.073E-05	Co-occurrence
P-0006428	MUT	MAP3K13	3q27.2	15 (1.49%)	0 (0.00%)	>10	1.302E-06	4.073E-05	Co-occurrence
P-0006428	MUT	PIK3CA	3q26.32	145 (14.40%)	123 (8.38%)	0.78	1.849E-06	5.531E-05	Co-occurrence
